Date,NTDOY,SONY,MSFT,ATVI,EA,TTWO,NCBDY,CCOEY,TCEHY,SQNXF
2020-11-23,0,0,0,0,0,1138100,0,0,0,100
2020-11-24,0,0,33979700,0,0,0,1002200,1002200,1635200,100
2020-11-25,4233500,0,0,4822900,2850900,889200,1084400,1084400,1783000,100
2020-11-26,0,0,0,0,0,0,791300,791300,0,0
2020-11-27,1880000,666900,14512200,3382500,2489400,615100,981100,981100,0,0
2020-11-30,0,0,0,15235000,10085200,2667000,0,0,0,100
2020-12-01,2735000,1240200,30904500,0,0,0,0,0,0,0
2020-12-02,0,1188400,23724500,0,1905700,703000,0,0,2092100,0
2020-12-03,1832000,754600,0,0,0,0,0,0,1487600,0
2020-12-04,1725500,570100,24666000,6414300,2743100,1126600,800200,800200,0,100
2020-12-07,0,901400,0,6730800,2671200,1335600,0,0,2157100,0
2020-12-08,1681500,0,23284100,6740000,2835800,0,0,0,1515200,0
2020-12-09,0,0,0,0,4229400,1305800,818700,818700,0,200
2020-12-10,2194000,725400,0,8503300,2903800,1507500,735600,735600,2123000,0
2020-12-11,1705000,907600,30979400,5864200,3195700,1585800,935000,935000,0,0
2020-12-14,0,0,28798400,7506200,0,3660300,499400,499400,0,0
2020-12-15,0,824300,0,5925700,3394600,0,0,0,1873100,0
2020-12-16,1450500,856800,35023300,6969300,4029200,2920400,452300,452300,1218200,400
2020-12-17,3686000,0,0,0,0,2128400,579000,579000,889300,1300
2020-12-18,0,0,63354900,14075300,4874000,5178300,0,0,1231500,0
2020-12-21,2289500,939000,37181900,0,0,0,0,0,1617600,0
2020-12-22,0,0,22612200,0,0,0,0,0,0,0
2020-12-23,1051500,0,0,4728300,1762400,0,679800,679800,1090600,0
2020-12-24,824500,0,10550600,2269100,688100,211600,0,0,0,0
2020-12-25,0,0,0,0,0,0,0,0,0,0
2020-12-28,3834500,0,17933500,0,0,0,0,0,0,0
2020-12-29,0,988800,0,0,0,879200,1052900,1052900,4625500,300
2020-12-30,1695500,616200,0,0,1684500,1524100,0,0,0,0
2020-12-31,0,670700,20942100,4311000,1689900,643900,0,0,0,0
2021-01-04,0,0,0,0,0,0,0,0,0,600
2021-01-05,1448500,1118700,23823000,4544100,2117800,878000,0,0,2203000,0
2021-01-06,0,981500,35930700,0,0,0,0,0,0,200
2021-01-07,0,760700,27694500,6142200,2936200,944200,0,0,0,100
2021-01-08,2465000,1400400,22956200,4408800,1902700,899700,1303900,1303900,10876700,0
2021-01-11,1436000,0,0,0,0,0,0,0,3591200,100
2021-01-12,0,0,0,0,0,0,1085600,1085600,2343600,0
2021-01-13,0,794400,20087100,4223700,0,1281400,1062400,1062400,3355200,0
2021-01-14,0,0,0,0,3511800,0,0,0,0,0
2021-01-15,0,1027600,0,8461400,0,1688200,0,0,0,0
2021-01-18,0,0,0,0,0,0,427500,427500,0,0
2021-01-19,0,701000,30480900,5711900,2693300,1678900,443000,443000,4152400,0
2021-01-20,0,874000,37777300,5703200,3288400,1727100,0,0,4412100,0
2021-01-21,3631000,0,30709400,0,3014000,0,0,0,4149800,300
2021-01-22,2515500,0,0,0,3369200,0,636700,636700,3690300,200
2021-01-25,0,0,33152100,0,0,0,676600,676600,0,100
2021-01-26,3349000,0,49169600,0,0,0,0,0,0,300
2021-01-27,0,0,0,0,4368100,0,1095400,1095400,0,0
2021-01-28,1819000,1439700,49111200,6685600,0,1160800,3819900,3819900,2099200,100
2021-01-29,0,0,0,7025500,3665400,1000100,0,0,1535700,0
2021-02-01,3334500,1499500,33314200,0,4123100,0,769800,769800,2423200,0
2021-02-02,8896000,0,0,5782600,4185700,1122300,0,0,2597900,0
2021-02-03,0,3026200,27158100,0,0,0,0,0,0,0
2021-02-04,0,0,0,0,0,0,0,0,1979100,0
2021-02-05,1539000,0,0,17047800,3899200,1586600,770900,770900,1532200,300
2021-02-08,0,1067800,0,0,2538400,3019400,1207500,1207500,0,500
2021-02-09,0,1014300,23565000,5298900,4517900,0,1996000,1996000,2401100,500
2021-02-10,0,0,0,0,0,0,1220800,1220800,0,400
2021-02-11,1646500,0,0,0,2592700,0,0,0,2041300,1000
2021-02-12,2005500,557700,16561100,3023500,1666100,1264800,0,0,960300,100
2021-02-15,0,0,0,0,0,0,1105200,1105200,0,0
2021-02-16,3033500,0,0,0,0,0,834700,834700,0,0
2021-02-17,0,0,21653500,0,1653900,1066800,0,0,0,0
2021-02-18,0,567200,16925600,5087800,2087500,808700,0,0,3150500,0
2021-02-19,1637500,1988600,0,0,0,0,0,0,1660500,0
2021-02-22,0,0,0,0,0,0,0,0,0,0
2021-02-23,2596500,1067300,30228700,6238400,2787000,2062400,0,0,3564400,0
2021-02-24,1986500,1474800,26339700,5925500,0,1218900,0,0,3019000,0
2021-02-25,0,0,0,0,0,0,0,0,0,0
2021-02-26,3032000,0,37819200,0,0,0,0,0,4191300,0
2021-03-01,2973000,935600,25324000,5135600,2867400,671300,683000,683000,3492300,0
2021-03-02,0,0,0,0,0,0,0,0,0,0
2021-03-03,0,0,0,0,0,0,753400,753400,0,0
2021-03-04,0,0,0,0,0,0,0,0,0,0
2021-03-05,0,1053900,41872800,8348600,2511000,0,0,0,5211100,700
2021-03-08,0,0,0,0,0,0,0,0,0,0
2021-03-09,3492000,1288500,33080500,6325600,2936700,0,0,0,2716000,100
2021-03-10,0,0,0,0,0,0,0,0,0,0
2021-03-11,3866000,915500,29907600,0,0,1021800,658500,658500,1911800,100
2021-03-12,0,870100,22653700,3280400,1327700,642100,1198200,1198200,0,0
2021-03-15,2547000,875500,0,0,2181700,0,547800,547800,2639700,0
2021-03-16,0,823900,28092200,0,0,1716600,636200,636200,2062600,200
2021-03-17,2190500,719100,29562100,4644900,0,0,714500,714500,2070800,100
2021-03-18,0,0,0,0,0,0,732500,732500,0,22800
