Date,NTDOY,SONY,MSFT,ATVI,EA,TTWO,NCBDY,CCOEY,TCEHY,SQNXF,1,2,3,4,5,6,7,8,9,10
2020-07-02,0,0,0,0,0,0,0,0,0,0,724000.0,0.0,29315800.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
2020-07-03,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,0,0,0,0,0,0,0,0,0,0,1831000.0,1397500.0,31897600.0,6041800.0,3609900.0,0.0,2321300.0,687700.0,687700.0,0.0
2020-07-07,0,0,0,0,0,0,0,0,0,0,1149000.0,0.0,0.0,0.0,0.0,1895900.0,1680200.0,651100.0,651100.0,0.0
2020-07-08,0,0,0,0,0,0,0,0,0,0,982000.0,533500.0,33600000.0,4863400.0,4969700.0,0.0,0.0,0.0,0.0,100.0
2020-07-09,0,0,0,0,0,0,0,0,0,0,840000.0,949600.0,0.0,6005700.0,0.0,2312100.0,1151600.0,0.0,0.0,0.0
2020-07-10,0,0,0,0,0,0,0,0,0,0,0.0,1666900.0,26177600.0,6071100.0,0.0,2119800.0,1313400.0,1107000.0,1107000.0,0.0
2020-07-13,0,0,0,0,0,0,0,0,0,0,957000.0,0.0,0.0,0.0,0.0,0.0,0.0,826600.0,826600.0,0.0
2020-07-14,0,0,0,0,0,0,0,0,0,0,1590000.0,757600.0,37591800.0,4875300.0,0.0,2409300.0,1284200.0,0.0,0.0,0.0
2020-07-15,0,0,0,0,0,0,0,0,0,0,0.0,1985200.0,0.0,6994300.0,0.0,2050900.0,1499600.0,0.0,0.0,0.0
2020-07-16,0,0,0,0,0,0,0,0,0,0,0.0,935400.0,0.0,4950100.0,3036400.0,1301700.0,0.0,0.0,0.0,0.0
2020-07-17,0,0,0,0,0,0,0,0,0,0,650000.0,1091700.0,0.0,0.0,1377600.0,2040700.0,0.0,566300.0,566300.0,300.0
2020-07-20,0,0,0,0,0,0,0,0,0,0,0.0,875000.0,36884800.0,5556400.0,2399800.0,1589700.0,846500.0,401900.0,401900.0,0.0
2020-07-21,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555200.0,555200.0,12100.0
